"actual_activity","predicted_activity","count"
"WALKING","WALKING","467"
"WALKING","WALKING_UPSTAIRS","16"
"WALKING","WALKING_DOWNSTAIRS","13"
"WALKING","SITTING","0"
"WALKING","STANDING","0"
"WALKING","LAYING","0"
"WALKING_UPSTAIRS","WALKING","206"
"WALKING_UPSTAIRS","WALKING_UPSTAIRS","231"
"WALKING_UPSTAIRS","WALKING_DOWNSTAIRS","34"
"WALKING_UPSTAIRS","SITTING","0"
"WALKING_UPSTAIRS","STANDING","0"
"WALKING_UPSTAIRS","LAYING","0"
"WALKING_DOWNSTAIRS","WALKING","123"
"WALKING_DOWNSTAIRS","WALKING_UPSTAIRS","78"
"WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","219"
"WALKING_DOWNSTAIRS","SITTING","0"
"WALKING_DOWNSTAIRS","STANDING","0"
"WALKING_DOWNSTAIRS","LAYING","0"
"SITTING","WALKING","1"
"SITTING","WALKING_UPSTAIRS","5"
"SITTING","WALKING_DOWNSTAIRS","0"
"SITTING","SITTING","356"
"SITTING","STANDING","128"
"SITTING","LAYING","1"
"STANDING","WALKING","1"
"STANDING","WALKING_UPSTAIRS","1"
"STANDING","WALKING_DOWNSTAIRS","0"
"STANDING","SITTING","81"
"STANDING","STANDING","449"
"STANDING","LAYING","0"
"LAYING","WALKING","0"
"LAYING","WALKING_UPSTAIRS","0"
"LAYING","WALKING_DOWNSTAIRS","0"
"LAYING","SITTING","0"
"LAYING","STANDING","16"
"LAYING","LAYING","521"
